id,title,option_1,option_2,option_3,option_4,answer,section_id
1,The difference between the local value and face value of 7 in the numeral 657903 is:,0,7896,6993,903,6993,2
2,"The sum of three prime numbers is 100. If one of them exceeds another by 36, then one of the numbers is:",7,29,41,67,67,2
3,(51+52+53+-----------+100) is equal to:,2525,2975,3225,3775,3775,2
4,"5b2 is a three-digit number with b as a missing digit. If the number is divisible by 6, the missing digit is:",2,3,6,7,2,2
5,"How many of the following numbers are divisible by 3 but not by 9?
2133; 2343; 3474; 4131; 5286; 5340; 6336; 7347; 8115; 9276",5,6,7,None of these,6,2
6,"The value of P, when 4864 x 9P2 is divisible by 12, is:",2,5,8,None of these,None of these,2
7,"How many of the following numbers are divisible by 132?
264, 396, 462, 792, 968, 2178, 5184, 6336",4,5,6,7,4,2
8,The largest natural number which exactly divides the product of any four consecutive natural numbers is:,6,12,24,120,24,2
9,The least number which must be subtracted from 6709 to make it exactly divisible by 9 is:,2,3,4,5,4,2
10,"The least number by which 72 must be multiplied in order to produce a multiple of 112, is:",6,12,14,18,14,2
11,A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,120m,1200m,180m,200m,150m,2
12,"A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:",45 km/hr,50 km/hr,54 km/hr,55 km/hr,50 km/hr,2
13,"The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is:",200 m,225 m,245 m,300 m,245 m,2
14,Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:,1 : 3,3 : 2,3 : 4,None of these,3 : 2,2
15,"	
A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr, what is the length of the platform?",240,120,420,669,240,2
16,"In a 100 m race, A can give B 10 m and C 28 m. In the same race B can give C",10,20,30,40,20,2
17,A and B take part in 100 m race. A runs at 5 kmph. A gives B a start of 8 m and still beats him by 8 seconds. The speed of B is:,4.14,5.14,6.14,3.14,4.14,2
18,"In a 500 m race, the ratio of the speeds of two contestants A and B is 3 : 4. A has a start of 140 m. Then, A wins by:",20,30,40,50,20,2
