id,title,option_1,option_2,option_3,option_4,answer,section_id
1,"Choose the word which is most nearly the SAME in meaning as the word given,ARDUOUS ",Hazardous,Difficult,Different,Pleasurable,Difficult,1
2,"Choose the word which is most nearly the SAME in meaning as the word given,FORMULATE ",Frame,Apply,Contemplate,Regularize,Frame,1
3,"Choose the word which is most nearly the SAME in meaning as the word given,DEGRADING ",Demeaning,Lowering,Corrupting,Minimizing,Lowering,1
4,"Choose the word which is most nearly the SAME in meaning as the word given,TRANSITIONAL ",Extreme,Intermediate,Revolutionary,Changed,Intermediate,1
5,"Choose the word which is most nearly the SAME in meaning as the word given,VIABLE",Rudimentary,Practical,Negative,Impossible,Impossible,1
6,"Choose the word which is most nearly the SAME in meaning as the word given,INEVITABLY",Expectedly,Certainly,Mostly,Avoidably,Avoidably,1
7,"Choose the word which is most nearly the SAME in meaning as the word given,ACCORDANCE",Conflict,Enmity,Quarrel,Division,Conflict,1
8,"Which of the phrases (A), (B), (C) and (D) given below each sentence should replace the word/phrase printed in bold in the sentence to make it grammatically correct ? If the sentence is correct as it is given and no correction is required, mark (E) as the answer.",,,,,,1
9,"Which of the phrases (A), (B), (C) and (D) given below each sentence should replace the word/phrase printed in bold in the sentence to make it grammatically correct ? If the sentence is correct as it is given and no correction is required, mark (E) as the answer.Since the officer was overburdened with work, her collegue decided to gave her hand",giving hands,give her a hand,giving her handful,gave her hands,give her a hand,1
10,"Which of the phrases (A), (B), (C) and (D) given below each sentence should replace the word/phrase printed in bold in the sentence to make it grammatically correct ? If the sentence is correct as it is given and no correction is required, mark (E) as the answer. Despite having passed out from school over ten years back, most schoolmates has keep touch with each other",had kept in touch,keep touched,is keeping touch,are kept touched,had kept in touch,1
11,We are ___ to have him ____ here to make this function a great success,"pleased, over","sure, come","wonderful, again","happy, arrive","pleased, over",1
12,The state Govt. staff ___ threatened to launch an indefinite strike from next month to ___ their demands,"have, press","were, meet","did, get","have, press","have, press",1
13,The speech ___ with subtle threats has resulted in ___ tension,"replete, increased","followed, continuous","started, reduced","full, escalating","replete, increased",1
14,By long queues and bad weather the voters__ their way to the polling stations ___ a lot,"going, dropped","encouraged, prepared","making, suffered","undaunted, made","making, suffered",1
